dataset,baseline,novelty_head,accuracy,f1_macro,auroc_ovr_macro,zero_day_auroc,binary_accuracy,binary_f1_macro,binary_auroc,novelty_accuracy,novelty_f1_macro,known_false_positive_rate,zero_day_true_positive_rate,fpr_at_95_tpr,alpha,seed
CICIoT2023,XGBoost + Isolation Forest,isolation_forest,0.9895673356987766,0.8043265386414521,0.9989743827685366,0.9956180985536767,0.9953926812476831,0.9501080689509336,0.9992453769264041,0.9359493755650049,0.9332651234608165,0.10120213949054706,0.9998179169701383,0.008473229889318435,0.1,42
CICIoT2023,XGBoost + Autoencoder,autoencoder,0.9895673356987766,0.8043265386414521,0.9989743827685366,0.9126072499227524,0.9953926812476831,0.9501080689509336,0.9992453769264041,0.8112632671510362,0.7889673131453963,0.10136101255097177,0.6610524399126001,0.22618228035799395,0.1,42
