dataset,baseline,novelty_head,accuracy,balanced_accuracy,f1_macro,auroc_ovr_macro,auprc_ovr_macro,zero_day_auroc,zero_day_auprc,binary_accuracy,binary_f1_macro,binary_auroc,novelty_accuracy,novelty_balanced_accuracy,novelty_f1_macro,known_false_positive_rate,zero_day_true_positive_rate,fpr_at_95_tpr,alpha,seed
CICIoT2023,XGBoost + Isolation Forest,isolation_forest,0.9893555049515437,0.7954657235218034,0.7979092365743382,0.999013805281256,0.8280908333007977,0.9956180985536767,0.9799711936528337,0.9951808505004501,0.9476998839620309,0.9992530795802645,0.9359493755650049,0.9493078887397957,0.9332651234608165,0.10120213949054706,0.9998179169701383,0.008473229889318435,0.1,42
CICIoT2023,XGBoost + Autoencoder,autoencoder,0.9893555049515437,0.7954657235218034,0.7979092365743382,0.999013805281256,0.8280908333007977,0.9126072667974705,0.7718952809121649,0.9951808505004501,0.9476998839620309,0.9992530795802645,0.8112632671510362,0.7798457136808141,0.7889673131453963,0.10136101255097177,0.6610524399126001,0.22618228035799395,0.1,42
CICIoT2023,XGBoost + One-Class SVM,ocsvm,0.9893555049515437,0.7954657235218034,0.7979092365743382,0.999013805281256,0.8280908333007977,0.9411972869001775,0.9186968829768805,0.9951808505004501,0.9476998839620309,0.9992530795802645,0.8899789064854187,0.8859700445210992,0.8826771288062293,0.09887200127098449,0.8708120903131829,0.3198114706349627,0.1,42
BoT-IoT,XGBoost + Isolation Forest,isolation_forest,0.9514818998440105,0.9730802032667133,0.972668701028603,0.9955434806516208,0.9950377952806788,0.7387485703066543,0.5365404994409239,0.9998386315959336,0.9988719322865689,0.9999993532165351,0.8958182006848604,0.8127183031383831,0.6366461913214019,0.09784304233231134,0.7232796486090776,0.9522349523963208,0.1,42
BoT-IoT,XGBoost + Autoencoder,autoencoder,0.9514818998440105,0.9730802032667133,0.972668701028603,0.9955434806516208,0.9950377952806788,0.9232782625261535,0.3991642866362743,0.9998386315959336,0.9988719322865689,0.9999993532165351,0.893379682473799,0.7642078815667745,0.6179550617831299,0.09676725297186811,0.6251830161054173,0.22059060835888333,0.1,42
BoT-IoT,XGBoost + One-Class SVM,ocsvm,0.9514818998440105,0.9730802032667133,0.972668701028603,0.9955434806516208,0.9950377952806788,0.9235554003562706,0.48407355452859674,0.9998386315959336,0.9988719322865689,0.9999993532165351,0.8968558680087164,0.818192385632211,0.6396042002881532,0.09714377924802324,0.7335285505124451,0.3223064923887903,0.1,42
UNSW-NB15,XGBoost + Isolation Forest,isolation_forest,0.8020027761253222,0.7077610748757344,0.601608544345498,0.9695127961181578,0.6652175593775109,0.38316603851612974,0.08401822121667588,0.8647630378742812,0.8645303591814897,0.9666073649875222,0.8109184215183154,0.48363310725132286,0.4826102031021271,0.09934562760261749,0.06661184210526316,0.9551854055125917,0.1,42
UNSW-NB15,XGBoost + Autoencoder,autoencoder,0.8020027761253222,0.7077610748757344,0.601608544345498,0.9695127961181578,0.6652175593775109,0.457494413178246,0.16570596073423643,0.8647630378742812,0.8645303591814897,0.9666073649875222,0.8299416032560609,0.5828860288362191,0.5786730937005525,0.1023200475907198,0.2680921052631579,0.974816577434067,0.1,42
UNSW-NB15,XGBoost + One-Class SVM,ocsvm,0.8020027761253222,0.7077610748757344,0.601608544345498,0.9695127961181578,0.6652175593775109,0.47143121784234526,0.09151857438754296,0.8647630378742812,0.8645303591814897,0.9666073649875222,0.8038400283135728,0.46737245543588296,0.4657127687768821,0.10390640491770771,0.038651315789473686,0.8046797541146143,0.1,42
