dataset,metric,system_a,system_b,mean_a,mean_b,mean_diff,t,df,p_raw,cohens_d_z,p_holm,significant_at_0.05_holm
CICIoT2023,zero_day_auroc,autoencoder,isolation_forest,0.934101,0.995153,-0.061052,-4.4509,4,0.011239229853561301,-1.9905,0.05619614926780651,False
CICIoT2023,zero_day_auroc,autoencoder,ocsvm,0.934101,0.940374,-0.006273,-0.6044,4,0.578157000806192,-0.2703,0.6068993742158659,False
CICIoT2023,zero_day_auroc,isolation_forest,ocsvm,0.995153,0.940374,0.054779,13.2566,4,0.00018712162662431765,5.9285,0.0013098513863702235,True
BoT-IoT,zero_day_auroc,autoencoder,isolation_forest,0.918508,0.757016,0.161492,11.5345,4,0.0003226226414273297,5.1584,0.0019357358485639783,True
BoT-IoT,zero_day_auroc,autoencoder,ocsvm,0.918508,0.933805,-0.015297,-1.5875,4,0.18758477823593347,-0.71,0.5627543347078005,False
BoT-IoT,zero_day_auroc,isolation_forest,ocsvm,0.757016,0.933805,-0.176789,-36.736,4,3.278260831839939e-06,-16.4288,2.9504347486559452e-05,True
UNSW-NB15,zero_day_auroc,autoencoder,isolation_forest,0.336887,0.382971,-0.046084,-1.1798,4,0.30344968710793296,-0.5276,0.6068993742158659,False
UNSW-NB15,zero_day_auroc,autoencoder,ocsvm,0.336887,0.478502,-0.141615,-3.5177,4,0.02449996961033277,-1.5732,0.09799987844133108,False
UNSW-NB15,zero_day_auroc,isolation_forest,ocsvm,0.382971,0.478502,-0.095531,-31.3292,4,6.185996812864525e-06,-14.0108,4.94879745029162e-05,True
