gate,check,scope,provenance,expected,observed,delta,tol,verdict
G1 REPRODUCE,RQ5/UNSW-NB15/heuristic/false_flags,RQ5,recomputed,469,469,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/heuristic/false_zeroday_rate,RQ5,recomputed,0.0465,0.0465,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/heuristic/tau,RQ5,recomputed,0.382977,0.382977,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/small_n/100/conformal_mean_fzr,RQ5,recomputed,0.046436,0.046436,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/small_n/100/heuristic_mean_fzr,RQ5,recomputed,0.055555,0.055555,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/small_n/20/conformal_mean_fzr,RQ5,recomputed,0.040833,0.040833,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/small_n/20/heuristic_mean_fzr,RQ5,recomputed,0.088079,0.088079,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/small_n/200/conformal_mean_fzr,RQ5,recomputed,0.046431,0.046431,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/small_n/200/heuristic_mean_fzr,RQ5,recomputed,0.05096,0.05096,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/small_n/50/conformal_mean_fzr,RQ5,recomputed,0.036714,0.036714,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/small_n/50/heuristic_mean_fzr,RQ5,recomputed,0.074309,0.074309,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/small_n/500/conformal_mean_fzr,RQ5,recomputed,0.046326,0.046326,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/UNSW-NB15/small_n/500/heuristic_mean_fzr,RQ5,recomputed,0.048004,0.048004,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/conformal_le_alpha_cells,RQ5,recomputed,11,11,0.0,1e-09,PASS
G1 REPRODUCE,RQ5/heuristic_anticonservative_cells,RQ5,recomputed,13,13,0.0,1e-09,PASS
G2 FREEZE,manifest verify: week4/INTEGRATION,week4/INTEGRATION,,0 mismatch,rc=0,,,PASS
G2 FREEZE,manifest verify: week5/RESULTS_FROZEN,week5/RESULTS_FROZEN,,0 mismatch,rc=0,,,PASS
G2 FREEZE,manifest verify: week5/HANDOVER,week5/HANDOVER,,0 mismatch,rc=0,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_02_table_a.md,Table A (RQ1),,"present, non-empty",1792 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_02_table_a.tex,Table A (RQ1),,"present, non-empty",1075 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_05_table_a.md,Table A (RQ1),,"present, non-empty",1630 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_05_table_a.tex,Table A (RQ1),,"present, non-empty",1412 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_05_table_a_effects.csv,Table A (RQ1),,"present, non-empty",728 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_05_known_fa.csv,Table A (RQ1),,"present, non-empty",1873 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_04_table_b.md,Table B (RQ2),,"present, non-empty",2274 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_04_table_b.tex,Table B (RQ2),,"present, non-empty",1543 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_04_allseed_ci.csv,Table B (RQ2),,"present, non-empty",1661 B,,,PASS
G3 COMPLETE,week4/reports/_generated/w4_05_table_b.md,Table B (RQ2),,"present, non-empty",2098 B,,,PASS
G3 COMPLETE,week5/reports/figures/w5_fig2_coverage.png,Figure 2 (coverage),,"present, non-empty",159629 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_03_figure2_data.csv,Figure 2 (coverage),,"present, non-empty",8930 B,,,PASS
G3 COMPLETE,week5/reports/figures/w5_fig3_ablation.png,Figure 3 (ablation),,"present, non-empty",217045 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_06_ablation.md,Figure 3 (ablation),,"present, non-empty",1644 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_06_ablation.tex,Figure 3 (ablation),,"present, non-empty",1626 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_01_disentanglement.csv,RQ3 disentanglement,,"present, non-empty",831 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_06_rq5_honesty.md,RQ5 honesty,,"present, non-empty",2512 B,,,PASS
G3 COMPLETE,week4/reports/_generated/w4_06_rq5_honesty.md,RQ5 honesty,,"present, non-empty",4533 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_02_per_class_fzr.csv,Coverage diagnostics,,"present, non-empty",3314 B,,,PASS
G3 COMPLETE,week4/reports/_generated/w4_04_live_coverage.json,Coverage diagnostics,,"present, non-empty",29725 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_07_cross_audit.csv,Cross-audit (Day 30),,"present, non-empty",8365 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_07_cross_audit.json,Cross-audit (Day 30),,"present, non-empty",20191 B,,,PASS
G3 COMPLETE,week5/reports/w5_09_methods_data_stats.md,Methods + repro appendix (Day 31),,"present, non-empty",21372 B,,,PASS
G3 COMPLETE,week5/reports/w5_10_repro_appendix.md,Methods + repro appendix (Day 31),,"present, non-empty",19265 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_09_methods.tex,Methods + repro appendix (Day 31),,"present, non-empty",15601 B,,,PASS
G3 COMPLETE,week5/reports/_generated/w5_10_repro_appendix.tex,Methods + repro appendix (Day 31),,"present, non-empty",9966 B,,,PASS
G3 COMPLETE,week4/INTEGRATION/frozen_thresholds.json,Freeze packages,,"present, non-empty",2467 B,,,PASS
G3 COMPLETE,week4/INTEGRATION/interface_contract.json,Freeze packages,,"present, non-empty",1785 B,,,PASS
G3 COMPLETE,week5/RESULTS_FROZEN/results_frozen_scalars.json,Freeze packages,,"present, non-empty",1895 B,,,PASS
G3 COMPLETE,week5/HANDOVER/HANDOVER.md,Freeze packages,,"present, non-empty",7792 B,,,PASS
G5 AUDIT,cross-audit independent re-derivation (0 FAIL required),passthrough cells,independent,0 FAIL,90 PASS / 0 FAIL / 1 WARN over 91 checks,,,PASS
G4 NEUTRAL,pinned artifacts unchanged during sign-off,79 pinned files,,0 changed,"0 changed, 0 missing",,,PASS
