dataset,n_cal,k,m_test,threshold_q,target_alpha,achieved_alpha,band_level,guarantee_held,alpha_le_target,exchangeability,n_zeroday,qsnet_recall,best_classical,best_classical_recall,recall_delta,n_in_band,n_seeds,all_in_band,band_lo_rate,band_hi_rate,fzr5_mean,fzr5_std,fzr5_ci95_low,fzr5_ci95_high,recall5_mean,recall5_std,recall5_ci95_low,recall5_ci95_high
CICIoT2023,18883,17940,18883,0.300551,0.05,0.048615,0.99,True,True,PASS,10984,0.999818,Isolation Forest,0.9978,0.002018,5,5,True,0.044326,0.055923,0.05175,0.001576,0.049793,0.053707,0.999818,0.0,0.999818,0.999818
BoT-IoT,18591,17663,18591,0.262934,0.05,0.053036,0.99,True,False,PASS,683,0.095168,Isolation Forest,0.7233,-0.628132,5,5,True,0.044269,0.055941,0.050143,0.002048,0.047599,0.052686,0.092826,0.001309,0.0912,0.094451
UNSW-NB15,10112,9608,10086,0.38338,0.05,0.046302,0.99,True,True,PASS,1216,0.385691,Autoencoder,0.2656,0.120091,5,5,True,0.042336,0.0581,0.050783,0.002777,0.047335,0.054232,0.392927,0.00365,0.388395,0.397459
